,code,name,image,price,department
700,11603,Koleston Dark Blonde Hair Colour Creme 306/0  50ml,/lulucommercewebservices/v2/medias/11603-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMDU5OHxpbWFnZS9qcGVnfGltYWdlcy9oY2MvaDRhLzkwODk5NDEzNDAxOTAuanBnfDdlYmI3NzkwMTVhMjk1MzdhYmZiMjlhYWFhMGU3Y2U4YjhjMDU5NWQ3Y2IxY2JjMTIzY2I3ZTczNTJmMzdmMTc,17.6,GROCERY
720,1467500,Grace Cole Softning Hand And Nail Cream Ginger Lily And Mandarin 30ml,/lulucommercewebservices/v2/medias/1467500-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODAyfGltYWdlL2pwZWd8aW1hZ2VzL2gyMi9oMTgvaDAwLzkyNDM3OTI3MzYyODYuanBnfGU4OTJkYWJlNjJiMjZiNmMxNGVkOWY2ZjExNzczMTNmNWRhMGNiZTU1ZGU2MGRjMTdlZmI4MWU2N2RjYjVjNWY,27.0,FASHION
740,23712,L'Oreal Paris Excellence Creme 5.5 Mahogany Light Brown Hair Color 1 Packet,/lulucommercewebservices/v2/medias/23712-000001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTY1OHxpbWFnZS9qcGVnfGltYWdlcy9oMDcvaDBlLzkwODA5NTQyNTc0MzguanBnfDA0ZTkxOTY0ZjZiNjVjZGFlZWNhNzRkNjQzODBlYTA4NzFlOWI3ZTk4MDg0NWRkMTY1M2YwOWEzMWNjYWZhZjQ,47.5,GROCERY
760,1631668,Liht Organics Youth Elixir Liquid Foundation Divine 20ml,/lulucommercewebservices/v2/medias/1631668-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w2NjExfGltYWdlL2pwZWd8aW1hZ2VzL2hjMC9oZDIvaDAwLzkzMzY5MjA1NzE5MzQuanBnfDE2MzMyNzBkYmVmYmU4MTM3ZmFjOTlhOWUyOWM0NmE5N2VjNjY1ZDE2N2VlMGJlODViZWIwZWMyMTE1ZjUyNDQ,198.5,FASHION
780,203054,Durex Tickling Dots Condom 12pcs,/lulucommercewebservices/v2/medias/203054-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDUyM3xpbWFnZS9qcGVnfGltYWdlcy9oNTQvaGI2L2gwMC85Mjc1NzM2Njg2NjIyLmpwZ3w0ZDQ3NjFlNmE0MjU5NGQxMjViZjY3YzE4MTM5ZmFiZGQ4ODYwZmIxNGUxYTA1YjA5YWU5M2RlMjIxODFhNTA3,64.5,GROCERY
800,11621,Koleston Hair Color Creme 309/3 Golden Blonde 50ml,/lulucommercewebservices/v2/medias/11621-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMDY3M3xpbWFnZS9qcGVnfGltYWdlcy9oZDUvaDI5LzkwOTAwOTM3NzY5MjYuanBnfGMzMjM0NDY0MDE5NGNmOTRhZjg1OWYwMGQwZDBlOTQ4MDY5MGJjODc4NmZhNjY5YjE3ZjlmMzFkZTM4NTM4NTg,17.6,GROCERY
820,1028772,Lulu Disposable Razor 2Blade 10pcs,/lulucommercewebservices/v2/medias/1028772-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTQ1OHxpbWFnZS9qcGVnfGltYWdlcy9oYmQvaGE4LzkwNzY1MzA3MDg1MTAuanBnfGU4YjVjOWI0ODIzYmJjZjg3Y2U3YTAwMzQ3ZTVmNDg3NWE2MzdmMjI2ZGY2MGY4NmJmMTdkYmY5YmJmMTE2ZjU,10.25,GROCERY
840,984125,Palette Intensive Colour Cream 7-1 Medium Ash Blonde 1 Packet,/lulucommercewebservices/v2/medias/984125-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTIxNnxpbWFnZS9qcGVnfGltYWdlcy9oY2UvaGZmLzkxMjU3MzMxMDU2OTQuanBnfGRlNjk5YjE5MjVkY2Y5YjE1YmVhODhkNzA5YjE2NTFmOWViZjk2OTBjM2VmOThjMTM2MWIzZjQxNmIzZTY3ZmE,18.4,GROCERY
860,817868,Nestle Fitness HONEY and Almonds Breakfast Cereal 425g,/lulucommercewebservices/v2/medias/817868-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMzkxMXxpbWFnZS9qcGVnfGltYWdlcy9oODcvaGVjL2gwMC85MzcyOTY4MTI0NDQ2LmpwZ3w0ZmU1MDUxZDYzMGY1ZTE1Zjk5YjhiNWM1ODljMmVlYmZiMDU5YmFhMDU5MGY4MmRlNGM4ZGRkNjkxZTYyNzAw,16.9,GROCERY
880,57949,Himalaya Herbals Moisturizing Aloe Vera Face Wash 150ml,/lulucommercewebservices/v2/medias/57949-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3ODMwfGltYWdlL2pwZWd8aW1hZ2VzL2g0NC9oZmQvOTExMDc1MjA2NzYxNC5qcGd8YWUxZGMzNDNlZGIyNWVmNmQ2ODA2MjMwYWE4ZDBmOWU4NmE1MmU4M2IzZmVmYTZiMGI1NDdlM2Y1ZDliNWNkZg,27.0,GROCERY
900,987037,Nivea Body Lotion Cocoa Butter 250ml x 2,/lulucommercewebservices/v2/medias/987037-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0NTk3fGltYWdlL2pwZWd8aW1hZ2VzL2g4NC9oYzQvOTEyNjA4NDU3NTI2Mi5qcGd8ZTBjNmVjYWZjNmI3ZTcyMjdjZWFlNjlmYjg4MzM0NGQzNzZmNzFjMDI3YzgxZTIxNWI3ZDdhZGNjNmE4YmFmMA,26.25,GROCERY
920,1624865,Garnier Ultra Doux Nurturing Almond Milk Shampoo 400ml,/lulucommercewebservices/v2/medias/1624865-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0OTUyfGltYWdlL2pwZWd8aW1hZ2VzL2hiYi9oMjcvaDAwLzkzMTM2MTgwMDE5NTAuanBnfDYzNzAyMjU1NDU5N2FlZDYxNWI4YWY0N2YyZTg4M2UzMTRmYzY2Y2IwNGU5NjY4NTMxNzE4NGIxZDgxY2YyMGY,18.5,GROCERY
940,1264788,Max Factor 2000 Calorie Curl Addict Mascara Volume & Curl Black 1pc,/lulucommercewebservices/v2/medias/1264788-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNDYwM3xpbWFnZS9qcGVnfGltYWdlcy9oNTUvaGUyLzkxMDMyMDYyNTI1NzQuanBnfDBmZjAyYmE5YjhjMTBhNTk5NzY0ODI1MWQyYTRjMDI1ZTAyZDE1ZWRhYTlkMzM1NWZmZjVhNzZlYTBjOTllMjQ,50.0,FASHION
960,1637102,Labello Lip Balm Hot Pink 3g,/lulucommercewebservices/v2/medias/1637102-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w2NzY2fGltYWdlL2pwZWd8aW1hZ2VzL2hjNy9oMTcvaDAwLzkzMjgyNTQzODYyMDYuanBnfDQ1Nzg2ODYyNTQzZTgxN2Q2YzcxYzRmNTZmZWMwOTE4NGI3MmVjNmI0ZmMzMGUwZjRiNmIyYjljYWE1ZDBhZWY,24.9,GROCERY
980,133588,Feather Hi Stainless Blades Double Edge 5pcs,/lulucommercewebservices/v2/medias/133588-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNzA3fGltYWdlL2pwZWd8aW1hZ2VzL2g4ZC9oZWQvOTE1NDY1NDU2ODQ3OC5qcGd8MGJiMTQ5MzdjNzZkZWExYmJiMDZjMTZjNGRmYzAzY2Q0OWFkNzNmOTIzYjc1YzhlNmRhZDlhMmIyMzhmOTM4NQ,2.9,GROCERY
1000,24089,Dabur Amla Jasmine Hair Oil 300ml,/lulucommercewebservices/v2/medias/24089-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w5MjA1NnxpbWFnZS9qcGVnfGltYWdlcy9oMTQvaDMzL2gwMC85MzQ3MTgwMTAxNjYyLmpwZ3xmNzNkYWM4YWUzNWU1N2JlOTViNmJjNzExNWM2ZTRkN2Q5MWVlNTcwMGRhNDFiNWJjNDExYTM3NzA4NjQ1Mzc3,13.45,GROCERY
1020,490834,Tippyâs Make-up Pads 80pcs x 3,/lulucommercewebservices/v2/medias/490834-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTQ5N3xpbWFnZS9qcGVnfGltYWdlcy9oMzEvaDdkLzkxMDgyNjk1MzExNjYuanBnfGZhYmQzMTVlZGI3NjMxMTAzMjRhYzljNzJlODMwNjY5MjVmYmQyYmEwZDc5NTQwOTVhNjExNjc0MTg3OWQzOTg,10.75,GROCERY
1040,1449733,One Touch Verio Flex Glucose Monitor,/lulucommercewebservices/v2/medias/1449733-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxOTk2MXxpbWFnZS9qcGVnfGltYWdlcy9oOGEvaGY1L2gwMC85MjAzMjgxODg3MjYyLmpwZ3w0NzgzM2FiN2M2MmE5ZThmM2Y2NGQ3YTg1ZGMwYjNmODY4YzllMmFlNWEwMDlkYmY1Zjk2ZGE2MWZlN2Y5MTVj,199.0,ELECTRONICS
1060,1533391,Eskinol Spot Less White Facial Deep Cleanser 225ml,/lulucommercewebservices/v2/medias/1533391-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w0Mzc0fGltYWdlL2pwZWd8aW1hZ2VzL2hmZS9oMjgvaDAwLzkxOTI4OTUwMjEwODYuanBnfGY0ZDU0YWJhMmM1MGI3NTcwYTExODQ0ODcyMTU5MzIxNDA4YmRkYTEyOTJhZmUyMzliYjBmZTIwY2M5NWE5OTI,9.5,GROCERY
1080,207533,Sebamed Lip Defence 1pc,/lulucommercewebservices/v2/medias/207533-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODY0N3xpbWFnZS9qcGVnfGltYWdlcy9oY2QvaDJlLzkxNTQ3NDI1ODMzMjYuanBnfDliYjMyNTRkNTljMzUzMGI5MWY1ZjU5OGIyOTkxNDEzNzI0MDdlOTI1ZWI3MTNlN2ViOWQ3MjU2Njk2Y2I2OGQ,7.25,GROCERY
